address,price,image_url,details,processed
"Apartment 44, Block D2, Geraldstown Woods, Santry, Dublin 9, D09R9FE","€200,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjAvMS8wMWYyOTk4MmU3ODJlNjg0OGM3YWYzY2VlZTUzMDNhZi5qcGcifQ%3D%3D%3Fsignature%3Dcc196d5d4420aa5cfae3a1e780329b59e19820416e59dfd00af8d26e4e0d2eea&w=3840&q=75,"['1 Bed', '1 Bath', '44 m²', 'Apartment']",False
"44 Millbrook, Johnstown, Co. Meath, C15DX40","€190,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjEvYy8xYzUwOGM5Yi1jMmRlLTQ3ODEtYTI1Ny05YjViYThhM2I1NGMuSlBFRyJ9%3Fsignature%3D8472606debf75cc14d5c33c01a229433372f143c9b177fa553f21f8fa2a31fe5&w=3840&q=75,"['2 Bed', '1 Bath', '54 m²', 'Apartment']",False
"Apartment 58 , Block C, Westend Gate, Tallaght, Dublin 24, D24YA78","€199,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjUvNi81NmY2MTRiMi0yNDhlLTQ1MGMtOTYzMi01MTY3NDBjNDFmNTguSlBFRyJ9%3Fsignature%3D5f212795948891931bec7a0c0e73155a286c6f402f2736c01188129cba033f3b&w=3840&q=75,"['1 Bed', '1 Bath', '50 m²', 'Apartment']",False
"21 Saint Canices Court, Cappagh Green, Finglas, Dublin 11, D11C640","€190,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjkvNy85N2YyY2FlMjA4Yzc3MmYwNGY1NWM4NjNiM2UyM2M5YS5qcGcifQ%3D%3D%3Fsignature%3D32254e0e7850b14d01152a00230713e53b9f027199f8cef437ec783cc2b2f22c&w=3840&q=75,"['1 Bed', '1 Bath', '58 m²', 'Apartment']",False
"Apartment 14 , Rath Geal, Clondalkin, Dublin 22, D22HA17","€200,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6ImQvMS9kMWUwNjVmNy05NTcwLTQ4NzYtYWJiZS1kYjZhZTMxNmY2YTkuSlBFRyJ9%3Fsignature%3Db3ad4210e53ff8258bbfeb4061979fb7c32035bf6faa72c99cebd19b6329b2a3&w=3840&q=75,"['1 Bed', '1 Bath', '44 m²', 'Apartment']",False
"Apartment 11 , Landys Court, Mill Street, Balbriggan, Co. Dublin, K32V189","€190,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjYvNS82NWNlYmQzNy00M2UwLTQ2NmYtOTg4My1mZDgzZTcxNjBjZTUuSlBFRyJ9%3Fsignature%3D0fcd72b23e3893fd6c1599f94e046d6dde5472e633c454deaa5c9ad4c25a4a64&w=3840&q=75,"['1 Bed', '1 Bath', '49 m²', 'Apartment']",False
"8 Mayeston Court, Finglas, Dublin 11, D11V972","€195,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjYvYi82YjlmZjBkZC1kYWFhLTQ4OWEtYTkzMS0yNDJlNGFlNjhiYjMuanBnIn0%3D%3Fsignature%3Dc2f6ddb510b70d8143f9583bf2fb94421671f05fb9660cab6adf97720aae9803&w=3840&q=75,"['1 Bed', '1 Bath', '45 m²', 'Apartment']",False
"Apartment 16, 122 Capel Street, Dublin 1, D01C995","AMV: €180,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjEvOC8xOGQwOTBmYjkzYzM5M2Y0N2NhZWM3MTZlMDgxNzA3NS5qcGcifQ%3D%3D%3Fsignature%3D9aca11892342a86b5aa01f5fc1ba34fe4022cd3909a802b6f6f3fe63a0809a34&w=3840&q=75,"['1 Bed', '1 Bath', 'Apartment']",False
"Feagh, Moynalty, Co. Meath, A82YN53","€170,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjUvMi81MmMzOGI4MC0zODdkLTQyMGMtOGY2Yi05YjUxZjg1OTI0YzYuanBnIn0%3D%3Fsignature%3D1e36cdc123cc487fb8fe30a04c37721f673b229563c0fb26c1720a0cf5aa43bb&w=3840&q=75,"['2 Bed', '1 Bath', 'Detached']",False
"82 The Crescent Building, D12PD34, Park West, Dublin 12","€195,000",https://dist-property-frontend-daft.daft.ie/_next/image?url=https%3A%2F%2Fmedia.daft.ie%2FeyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjcyMCwiaGVpZ2h0Ijo0ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6ImIvYy9iYzkzOGI2NDdmOTQzZWI2YmE3NmYwNzBkZGM4OTI1MC5qcGcifQ%3D%3D%3Fsignature%3D09fbfa6574e4e949c7bfa96b359616f34b19fb25cccd2337f87f3aab2bcb8146&w=3840&q=75,"['1 Bed', '1 Bath', '52 m²', 'Apartment']",False
